source_name,headline,article_url,publication_date,discovery_source,collection_timestamp,audit_status,reason,qa_status,date_status
Al Wasat,ضبط تاجر مخدرات في زليتن,https://alwasat.ly/news/libya/521758,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,العثور على كميات كبيرة من مخلفات الحرب في غريان,https://alwasat.ly/news/libya/521754,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,خلال افتتاح معرض «إيبيكس 2026».. «المركزي» يطلق تقنية «SoftPOS» للمرة الأولى في ليبيا,https://alwasat.ly/news/libya/521750,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,https://alwasat.ly/news/libya/521749,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),https://alwasat.ly/news/libya/521746,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«حكومة الوحدة» توقع مذكرة تفاهم للتعاون العسكري مع النيجر,https://alwasat.ly/news/libya/521743,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,https://alwasat.ly/news/libya/521741,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Al Wasat,كاريكاتير خيري - نتنياهو.. مجرم الحرب المطلوب لدي المحكمة الجنائية الدولية,https://alwasat.ly/news/caricature/519899,,https://alwasat.ly/section/libya,2026-06-17T10:45:48Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,قراءة في ملابسات اختراق منظومات مصرف ليبيا المركزي,https://www.eanlibya.com/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d9%81%d9%8a-%d9%85%d9%84%d8%a7%d8%a8%d8%b3%d8%a7%d8%aa-%d8%a7%d8%ae%d8%aa%d8%b1%d8%a7%d9%82-%d9%85%d9%86%d8%b8%d9%88%d9%85%d8%a7%d8%aa-%d9%85%d8%b5%d8%b1%d9%81-%d9%84/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,من يملك حق إنتاج الشرعية السياسية في ليبيا؟,https://www.eanlibya.com/%d9%85%d9%86-%d9%8a%d9%85%d9%84%d9%83-%d8%ad%d9%82-%d8%a5%d9%86%d8%aa%d8%a7%d8%ac-%d8%a7%d9%84%d8%b4%d8%b1%d8%b9%d9%8a%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%b3%d9%8a%d8%a9-%d9%81%d9%8a-%d9%84%d9%8a/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,النهوض بالاستثمار في الداخل,https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%87%d9%88%d8%b6-%d8%a8%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d8%a7%d8%ae%d9%84/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,المعالجة الجذرية لملف الهجرة,https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%84%d8%ac%d8%a9-%d8%a7%d9%84%d8%ac%d8%b0%d8%b1%d9%8a%d8%a9-%d9%84%d9%85%d9%84%d9%81-%d8%a7%d9%84%d9%87%d8%ac%d8%b1%d8%a9/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,محاولات للاستيلاء على أموال ليبية في فرنسا,https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,تركيا تستعد لأكبر «تغيير إداري» في تاريخها الحديث,https://www.eanlibya.com/%d8%aa%d8%b1%d9%83%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d8%b9%d8%af-%d9%84%d8%a3%d9%83%d8%a8%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%a5%d8%af%d8%a7%d8%b1%d9%8a-%d9%81%d9%8a-%d8%aa%d8%a7%d8%b1/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,النفط بين التفاؤل والحذر.. ماذا عن الذهب؟,https://www.eanlibya.com/%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d8%a4%d9%84-%d9%88%d8%a7%d9%84%d8%ad%d8%b0%d8%b1-%d9%87%d8%b1%d9%85%d8%b2-%d9%8a%d9%85%d8%b3%d9%83-%d8%a8/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,ليبيا تستقبل «مومياء تخرخوري» بعد ترميمها,https://www.eanlibya.com/%d9%84%d9%8a%d8%a8%d9%8a%d8%a7-%d8%aa%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%85%d9%88%d9%85%d9%8a%d8%a7%d8%a1-%d8%aa%d8%ae%d8%b1%d8%ae%d9%88%d8%b1%d9%8a-%d8%a8%d8%b9%d8%af-%d8%aa%d8%b1%d9%85/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,ديوان المحاسبة يكشف عن مخالفات مؤسسة الاستثمار,https://www.eanlibya.com/%d8%af%d9%8a%d9%88%d8%a7%d9%86-%d8%a7%d9%84%d9%85%d8%ad%d8%a7%d8%b3%d8%a8%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%85%d8%ae%d8%a7%d9%84%d9%81%d8%a7%d8%aa-%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,مصادر تكشف عن قرب صدور قرار تغيير رئيس المؤسسة الليبية للاستثمار,https://www.eanlibya.com/%d9%85%d8%b5%d8%a7%d8%af%d8%b1-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%82%d8%b1%d8%a8-%d8%b5%d8%af%d9%88%d8%b1-%d9%82%d8%b1%d8%a7%d8%b1-%d8%aa%d8%ba%d9%8a%d9%8a%d8%b1-%d8%b1%d8%a6%d9%8a%d8%b3-%d8%a7/,,https://www.eanlibya.com/,2026-06-17T10:46:06Z,not_in_final_report,missing_date,needs_review,missing_date
Libya 24,جهود الحكومة الليبية وصندوق التنمية.. بثبات نحو إعادة إعمار المدن وتأسيس بنية تحتية متينة لمستقبل أكثر استقرارًا - ليبيا 24,https://libya24.tv/2025/12/11/19192/,2025-12-10,https://libya24.tv/category/news/,2026-06-17T10:46:53Z,not_in_final_report,date_conflict,needs_review,date_conflict
